,category,met,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,signal contamination
24,1.08,"[300.0, 400.0)",7799923.39±366794.7,4286146.95±213657.0,60758.75±57571.0,991018.77±212937.1,1410915.7±115212.2,0.0±0.0,1250520.34±164963.1,2.49
25,1.08,"[400.0, inf)",2915977.46±193037.6,863972.65±94539.3,20974.81±9258.9,435578.4±44549.0,838491.0±59536.0,0.0±0.0,868551.62±151210.4,3.69
26,1.09,"[200.0, 300.0)",30740851.57±784567.8,22767756.18±494807.2,181371.56±171190.8,1932970.0±189855.9,1930873.82±129282.6,899506.17±467051.8,3771053.1±266661.0,2.36
27,1.09,"[300.0, 400.0)",6028215.53±320292.6,3522306.33±187674.6,7171.08±3441.0,775060.79±194736.6,773180.6±65429.3,39087.73±39087.7,1205004.54±154474.2,4.64
28,1.09,"[400.0, inf)",2507188.58±228630.5,831200.84±94712.0,17569.0±13430.6,337241.03±43330.5,578457.26±123338.2,101487.71±76413.9,792645.37±142488.1,5.7
29,2.01,"[200.0, 300.0)",2929671899.53±16883252.9,55512933.71±788374.4,111004357.19±3068665.4,1156761482.66±12050741.2,1372448523.06±7368931.8,18202344.92±7741398.9,254454051.46±3988870.5,1.3
30,2.01,"[300.0, 400.0)",575595991.61±7241128.7,6615270.3±272222.6,23237135.49±1380355.2,206798422.31±4572734.7,279869514.72±2874045.1,10552808.73±4237284.2,59531637.6±1880211.0,1.88
31,2.01,"[400.0, inf)",86056512.47±1795557.4,612120.51±84969.2,5073978.83±639823.5,25729309.83±1210153.2,44794243.92±783934.3,573012.94±573012.9,11444095.13±645073.3,2.46
32,2.02,"[200.0, 300.0)",353624767.66±5801255.1,77341916.36±903885.7,15162009.0±1190056.9,97179909.39±3698230.3,119347663.15±2185164.9,4862684.74±3262085.7,45167063.13±1538716.2,1.51
33,2.02,"[300.0, 400.0)",64581096.2±1951503.8,10313925.33±334690.3,3384721.58±511230.9,19055518.61±1532748.3,23677180.58±842430.3,0.0±0.0,9615231.95±620839.9,2.22
