dataset,leadFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.21333333333333337, 0.42666666666666675)",489,0.12496767193078995,3.2199292036239058e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.42666666666666675, 0.6400000000000001)",492,0.12625071406364441,3.2396834285464138e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.6400000000000001, 0.8533333333333335)",453,0.11624303460121155,2.9828792321495712e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.8533333333333335, 1.0666666666666664)",430,0.11034106463193893,2.8314307201071642e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.0666666666666664, 1.2800000000000002)",445,0.11419017612934113,2.9302014809218235e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.2800000000000002, 1.4933333333333332)",491,0.12548089027404785,3.2330986869055778e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.4933333333333332, 1.706666666666667)",471,0.1208619624376297,3.1014042178867385e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.706666666666667, 1.92)",438,0.11239392310380936,2.8841084713349119e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.92, 2.1333333333333337)",495,0.12702053785324097,3.2594376534689218e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.1333333333333337, 2.3466666666666667)",457,0.11726946383714676,3.0092181987129152e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.3466666666666667, 2.5600000000000005)",474,0.12163177877664566,3.1211584428092465e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.5600000000000005, 2.7733333333333334)",474,0.12163177877664566,3.1211584428092465e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.7733333333333334, 2.9866666666666672)",447,0.11470338702201843,2.9433709642034955e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.9866666666666672, 3.2)",357,0.091608747839927673,2.3507458536187187e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.2, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.2, -2.986666666666667)",522,0.00037084816722199321,2.7600849383802029e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.986666666666667, -2.7733333333333334)",733,0.00052427750779315829,3.8757513864950965e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.7733333333333334, -2.56)",748,0.00053809344535693526,3.9550643315955369e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.56, -2.3466666666666667)",709,0.00050973444012925029,3.7488509518901481e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",724,0.00051046162843704224,3.8281638969905885e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",702,0.00050609867321327329,3.7118383366951946e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",667,0.00047337680007331073,3.5267752607204272e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",697,0.00050246290629729629,3.6854008733655519e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.4933333333333334, -1.28)",728,0.00052500469610095024,3.8493139231654538e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.28, -1.0666666666666669)",695,0.00049955432768911123,3.6748257215002411e-10
