dataset,leadFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",1588,0.0011430849554017186,8.3965800978802463e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-0.19999999999999973, 0.0)",1666,0.0011910770554095507,8.8090068572910241e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 0.20000000000000018)",1589,0.0011409035651013255,8.4018675350350236e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.20000000000000018, 0.40000000000000036)",1558,0.0011285418877378106,8.2379547627908778e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.40000000000000036, 0.6000000000000005)",1530,0.0011038186494261026,8.0899043020110639e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.6000000000000005, 0.8000000000000007)",1371,0.00098674697801470757,7.2491884717251764e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.8000000000000007, 1.0)",1148,0.00081877462798729539,6.0700716675299304e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.0, 1.2000000000000002)",915,0.00064934790134429932,4.838079936675399e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.2000000000000002, 1.4000000000000004)",738,0.00053227622993290424,3.9021891273804954e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.4000000000000004, 1.6000000000000005)",567,0.0004050243878737092,2.9980232185700117e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.6000000000000005, 1.8000000000000007)",391,0.00027559109730646014,2.0674199852077635e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.8000000000000007, 2.0)",254,0.00018033401283901185,1.343029853995148e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.0, 2.2)",174,0.00012652466830331832,9.2002828966375461e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.2, 2.4000000000000004)",107,7.1988179115578532e-05,5.6576451856749088e-11
