dataset,met_over_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.5499999999999999, 0.6)",1,3.1129496846915572e-07,9.6904560385139421e-14
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.6, inf)",1,3.1129496846915572e-07,9.6904560385139421e-14
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.0, 0.049999999999999996)",124,3.8840837078168988e-05,1.2166215083986298e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.049999999999999996, 0.09999999999999999)",272,8.519925904693082e-05,2.6687181978179986e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.09999999999999999, 0.15)",400,0.00012529302330221981,3.9245856564562587e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.15, 0.19999999999999998)",496,0.00015536334831267595,4.8664860335945193e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.19999999999999998, 0.24999999999999997)",550,0.00017227791249752045,5.3963052776273557e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.24999999999999997, 0.3)",631,0.00019764974422287196,6.1910337967319151e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.3, 0.35)",665,0.00020829965069424361,6.5246232028304263e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.35, 0.39999999999999997)",686,0.00021487753838300705,6.730663942855486e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.39999999999999997, 0.44999999999999996)",570,0.00017854255565907806,5.5925344216722905e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.44999999999999996, 0.49999999999999994)",266,8.3319864643272012e-05,2.60984931582664e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.49999999999999994, 0.5499999999999999)",32,1.0023441973316949e-05,3.1396684297552158e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.5499999999999999, 0.6)",4,1.2529302466646186e-06,3.9245855371940197e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.6, inf)",0,0,0
