dataset,met,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[480.0, 520.0)",195,0.00013743196905124933,1.0310662046375541e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[520.0, 560.0)",182,0.00012943329056724906,9.6232848079136346e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[560.0, 600.0)",128,9.1621317551471293e-05,6.7680243354129033e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[600.0, 640.0)",120,8.72583914315328e-05,6.3450231180262051e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[640.0, 680.0)",130,9.3075621407479048e-05,6.8737744662872302e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[680.0, 720.0)",92,6.5443797211628407e-05,4.8645174693939808e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[720.0, 760.0)",74,5.3809344535693526e-05,3.9127642098568671e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[760.0, 800.0)",66,4.7992118197726086e-05,3.4897626455254738e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[800.0, 840.0)",57,4.1447736293775961e-05,3.0138856688122218e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[840.0, 880.0)",48,3.3449050533818081e-05,2.5380090390436649e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[880.0, 920.0)",38,2.7631824195850641e-05,2.009257170365597e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[920.0, 960.0)",39,2.8358977942843921e-05,2.0621324092751081e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[960.0, 1000.0)",28,2.0360292182886042e-05,1.4805053016875291e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1000.0, 1040.0)",18,1.3088759260426741e-05,9.5175343300946125e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1040.0, 1080.0)",19,1.381591209792532e-05,1.0046285851827985e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1080.0, 1120.0)",18,1.1634452675934881e-05,9.5175343300946125e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1120.0, 1160.0)",12,8.7258395069511607e-06,6.3450225976091623e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1160.0, 1200.0)",7,5.0900730457215104e-06,3.7012632542188229e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1200.0, 1240.0)",4,2.9086131689837202e-06,2.1150076048165323e-12
