dataset,dijet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1280.0, 1320.0)",6,4.3629197534755804e-06,3.1725112988045812e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1320.0, 1360.0)",6,4.3629197534755804e-06,3.1725112988045812e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1360.0, 1400.0)",4,2.9086131689837202e-06,2.1150076048165323e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1400.0, 1440.0)",2,1.4543065844918601e-06,1.0575038024082661e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1440.0, 1480.0)",5,3.6357664612296503e-06,2.643759560230774e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1480.0, 1520.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1520.0, 1560.0)",3,2.1814598767377902e-06,1.5862556494022906e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1560.0, 1600.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1600.0, 1640.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1640.0, 1680.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1680.0, 1720.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1720.0, 1760.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1760.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1800.0, 1840.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1840.0, 1880.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1880.0, 1920.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1920.0, 1960.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1960.0, 2000.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2000.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.0, 40.0)",34,3.3263902878388762e-05,3.2543738537338385e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[40.0, 80.0)",102,9.7835007181856781e-05,9.7631215612015154e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[80.0, 120.0)",114,0.0001095752086257562,1.0911724301898573e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[120.0, 160.0)",103,9.8813354270532727e-05,9.8588387453801829e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[160.0, 200.0)",92,8.8051507191266865e-05,8.8059531888617926e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[200.0, 240.0)",96,9.0008201368618757e-05,9.1888205377976817e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[240.0, 280.0)",90,8.6094805737957358e-05,8.614519514393848e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[280.0, 320.0)",100,9.5878305728547275e-05,9.5716878867335708e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[320.0, 360.0)",107,0.00010272675717715174,1.0241706094316072e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[360.0, 400.0)",107,0.00010272675717715174,1.0241706094316072e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[400.0, 440.0)",98,9.5878305728547275e-05,9.3802542122656263e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[440.0, 480.0)",81,7.9246354289352894e-05,7.7530676323434022e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[480.0, 520.0)",85,8.3159757195971906e-05,8.1359349812792914e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[520.0, 560.0)",75,7.1419555752072483e-05,7.1787659150501781e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[560.0, 600.0)",74,7.2397902840748429e-05,7.083049424760901e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[600.0, 640.0)",56,5.2830902859568596e-05,5.3601453137153143e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[640.0, 680.0)",59,5.7722652854863554e-05,5.6472958254172312e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[680.0, 720.0)",43,4.011235068901442e-05,4.1158257357842842e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[720.0, 760.0)",39,3.8155652873683721e-05,3.7329583868483951e-11
