dataset,mht_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1350.0, 1400.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1400.0, 1450.0)",2,1.4543065844918601e-06,1.0575038024082661e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1450.0, 1500.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1500.0, 1550.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1550.0, 1600.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1600.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.0, 50.0)",3513,0.0033938963897526264,3.3625340289944461e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[50.0, 100.0)",2887,0.0027834058273583651,2.7633464405596442e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[100.0, 150.0)",2140,0.0020604052115231752,2.0483412743743656e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[150.0, 200.0)",1633,0.0015722084790468216,1.5630566840840743e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[200.0, 250.0)",1202,0.0011446696007624269,1.1505169039693897e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[250.0, 300.0)",905,0.0008580129942856729,8.6623774819827304e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[300.0, 350.0)",731,0.0007093037711456418,6.9969041671669174e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[350.0, 400.0)",553,0.00053907086839899421,5.2931437011238813e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[400.0, 450.0)",428,0.00041286370833404362,4.0966824377264288e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[450.0, 500.0)",314,0.00030524522298946977,3.0055100075365715e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[500.0, 550.0)",311,0.00029644006281159818,2.9767949216719103e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[550.0, 600.0)",232,0.0002211071114288643,2.2206315952733036e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[600.0, 650.0)",193,0.00018490816000849009,1.8473357565884641e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[650.0, 700.0)",155,0.00014968756295274943,1.4836117057104303e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[700.0, 750.0)",130,0.00012327211152296513,1.2443195085420911e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[750.0, 800.0)",83,7.9246354289352894e-05,7.9445013068113468e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[800.0, 850.0)",93,8.9029854279942811e-05,8.9016696791510697e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[850.0, 900.0)",83,7.5332951382733881e-05,7.9445013068113468e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[900.0, 950.0)",57,5.1852552132913843e-05,5.4558621509492866e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[950.0, 1000.0)",45,4.2069052142323926e-05,4.307259757196924e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1000.0, 1050.0)",39,3.8155652873683721e-05,3.7329583868483951e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1050.0, 1100.0)",30,2.9350501790759154e-05,2.8715065047979493e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1100.0, 1150.0)",22,2.152370143448934e-05,2.1057714599814759e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1150.0, 1200.0)",14,1.3696901078219526e-05,1.3400363284288286e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1200.0, 1250.0)",20,1.9566999981179833e-05,1.9143376120411837e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1250.0, 1300.0)",10,9.7834999905899167e-06,9.5716880602059184e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1300.0, 1350.0)",6,5.8701002672023606e-06,5.7430128361235511e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1350.0, 1400.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1400.0, 1450.0)",3,2.9350501336011803e-06,2.8715064180617755e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1450.0, 1500.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1500.0, 1550.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1550.0, 1600.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1600.0, inf)",5,4.8917499952949584e-06,4.7858440301029592e-12
