dataset,sublFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 0.21333333333333337)",531,0.00045695345033891499,3.9922451455787211e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.21333333333333337, 0.42666666666666675)",562,0.00047689638449810445,4.2253139875825241e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.42666666666666675, 0.6400000000000001)",491,0.00042053591459989548,3.6915109857815764e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.6400000000000001, 0.8533333333333335)",528,0.00045608635991811752,3.9696901321661926e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.8533333333333335, 1.0666666666666664)",564,0.00047689638449810445,4.240350570672291e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.0666666666666664, 1.2800000000000002)",521,0.0004465484234970063,3.9170613974626178e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.2800000000000002, 1.4933333333333332)",511,0.00043614342575892806,3.8418779269022707e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.4933333333333332, 1.706666666666667)",541,0.00046215596375986934,4.0674286161390683e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.706666666666667, 1.92)",536,0.00045088384649716318,4.0298367420810166e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.92, 2.1333333333333337)",542,0.00046128887333907187,4.0749470464618298e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.1333333333333337, 2.3466666666666667)",500,0.00043180800275877118,3.759176026019162e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.3466666666666667, 2.5600000000000005)",493,0.00042227006633765996,3.7065475688713434e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.5600000000000005, 2.7733333333333334)",571,0.00049163680523633957,4.2929790278201096e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.7733333333333334, 2.9866666666666672)",552,0.00046995971933938563,4.1501305170221769e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.9866666666666672, 3.2)",341,0.00028873907285742462,2.563758094709101e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.2, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-3.2, -2.986666666666667)",367,3.7029756640549749e-05,3.904621417860632e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.986666666666667, -2.7733333333333334)",515,4.9613689043326303e-05,5.4792372895795527e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.7733333333333334, -2.56)",502,4.8685364163247868e-05,5.3409264857973149e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.56, -2.3466666666666667)",540,5.3842712077312171e-05,5.7452194043849936e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",528,5.2398656407603994e-05,5.6175480933617905e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",514,5.1367187552386895e-05,5.4685977968205179e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",486,4.8066482122521847e-05,5.1706976374188418e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",503,4.9407393817091361e-05,5.3515655448754806e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.4933333333333334, -1.28)",510,5.0542010285425931e-05,5.4260406931461169e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.28, -1.0666666666666669)",519,5.1057744713034481e-05,5.5217943932539537e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.0666666666666669, -0.8533333333333335)",489,4.878851177636534e-05,5.2026152483342081e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.8533333333333335, -0.6400000000000001)",512,5.0954597099917009e-05,5.4473192449833174e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.6400000000000001, -0.42666666666666675)",501,5.0026275857817382e-05,5.3302869930382801e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.42666666666666675, -0.21333333333333337)",523,5.2295508794486523e-05,5.5643514969283547e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.21333333333333337, 0.0)",525,5.1882921979995444e-05,5.5856300487655552e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.21333333333333337)",519,5.1264039939269423e-05,5.5217943932539537e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.21333333333333337, 0.42666666666666675)",541,5.3945859690429643e-05,5.7558588971440283e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.42666666666666675, 0.6400000000000001)",495,4.8582216550130397e-05,5.2664513375266786e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.6400000000000001, 0.8533333333333335)",503,4.9407393817091361e-05,5.3515655448754806e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.8533333333333335, 1.0666666666666664)",527,5.1676626753760502e-05,5.6069086006027558e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.0666666666666664, 1.2800000000000002)",514,5.0748305511660874e-05,5.4685977968205179e-12
