dataset,dijet_deta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.6000000000000001, 0.8)",3917,0.0012468629283830523,3.9690253861301983e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.8, 1.0)",3825,0.0012175774900242686,3.8758032894214978e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.0, 1.2000000000000002)",3506,0.0011160330614075065,3.5525665742497381e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.2000000000000002, 1.4000000000000001)",3348,0.0010657383827492595,3.392467973206692e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.4000000000000001, 1.6)",2808,0.00089384510647505522,2.8452956657432082e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.6, 1.8)",2419,0.00077001826139166951,2.4511290219741966e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.8, 2.0)",1967,0.00062613718910142779,1.993125525734385e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.0, 2.2)",1717,0.00054655701387673616,1.7398051055383945e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.2, 2.4000000000000004)",1333,0.00042432176996953785,1.3507048257643817e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.4000000000000004, 2.6)",1066,0.00033933008671738207,1.0801585320630025e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.6, 2.8000000000000003)",798,0.00025402006576769054,8.0859895168483575e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.8000000000000003, 3.0)",645,0.00020531697373371571,6.5356685341466658e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.0, 3.2)",429,0.0001365596690448001,4.3469793736816698e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.2, 3.4000000000000004)",314,9.9952761956956238e-05,3.1817052464910844e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.4000000000000004, 3.6)",210,6.6847387643065304e-05,2.1278921333300893e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.6, 3.8000000000000003)",178,5.6661119742784649e-05,1.8036417845368469e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.8000000000000003, 4.0)",93,2.9603843358927406e-05,9.4235218586757874e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[4.0, 4.2)",61,1.9417575458646752e-05,6.18101967178597e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[4.2, 4.4)",33,1.0504590136406478e-05,3.3438304208877057e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[4.4, 4.6000000000000005)",14,4.4564926611201372e-06,1.4185947338693494e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[4.6000000000000005, 4.800000000000001)",10,3.18320894621138e-06,1.0132819062980136e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[4.800000000000001, 5.0)",3,9.5496272933814907e-07,3.0398459357344754e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[5.0, 5.2)",2,6.3664180061095976e-07,2.0265638668061359e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[5.2, 5.4)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[6.0, inf)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.0, 0.2)",4233,0.00014588802878279239,5.0279511457085313e-12
