dataset,min_dphi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.24, 2.32)",100,8.6708430899307132e-05,7.5183526071498363e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.32, 2.4)",116,0.00010058178304461762,8.7212889687826589e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.4, 2.48)",129,0.00011185387847945094,9.6986745024008059e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.48, 2.56)",125,0.0001049172060447745,9.397940065047905e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.56, 2.64)",120,0.00010405012289993465,9.0220227122461694e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.64, 2.72)",92,7.9771758464630693e-05,6.9168837324440346e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.72, 2.8000000000000003)",113,9.6246360044460744e-05,8.4957381407679833e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.8000000000000003, 2.88)",172,0.0001439360057702288,1.2931565540608148e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.88, 2.96)",235,0.00020029647566843778,1.7668128071690603e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.96, 3.04)",365,0.00031475161085836589,2.7441984795650853e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.04, 3.12)",625,0.00054019351955503225,4.6989701019128916e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.12, 3.2)",236,0.00020463189866859466,1.7743310987139438e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.2, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",376,3.7751786294393241e-05,4.0003751179684688e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.08)",3306,0.00032718214788474143,3.5173509937980185e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.08, 0.16)",2351,0.00023218381102196872,2.5012983004280009e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.16, 0.24)",1607,0.00015998093294911087,1.7097347843053612e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.24, 0.32)",1154,0.00011325535888317972,1.2277746527789013e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.32, 0.4)",865,8.5096238763071597e-05,9.2029907999835459e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.4, 0.48)",643,6.3435378251597285e-05,6.8410667755647303e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.48, 0.56)",538,5.3430125262821093e-05,5.7239408525477931e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.56, 0.64)",492,4.8066482122521847e-05,5.2345332929304433e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.64, 0.72)",388,3.8989550375845283e-05,4.1280464289916718e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.72, 0.8)",346,3.4863671316998079e-05,3.6811964067295921e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.8, 0.88)",312,3.1356674298876897e-05,3.3194601581354455e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.88, 0.96)",300,3.053150066989474e-05,3.1917886302718079e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.96, 1.04)",249,2.3620654246769845e-05,2.6491844742210224e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.04, 1.12)",234,2.2898624592926353e-05,2.4895951186015841e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.12, 1.2)",232,2.3104919819161296e-05,2.4683165667643836e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.2, 1.28)",216,2.1660862330463715e-05,2.2980877183859105e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.28, 1.36)",234,2.3517506633652374e-05,2.4895951186015841e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.36, 1.44)",231,2.2176596758072264e-05,2.4576772908457833e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.44, 1.52)",185,1.8463306332705542e-05,1.9682697312284336e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.52, 1.6)",186,1.774127667886205e-05,1.9789090071470339e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.6, 1.68)",141,1.3924839549872559e-05,1.5001406150280672e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.68, 1.76)",91,8.7674916358082555e-06,9.6817584331609918e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.76, 1.84)",94,9.6958137874025851e-06,1.0000937794921172e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.84, 1.92)",85,8.5611973190680146e-06,9.0434013359438903e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.92, 2.0)",85,8.1486095950822346e-06,9.0434013359438903e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.08)",71,7.1171402851177845e-06,7.5538999968344234e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.08, 2.16)",44,4.332172466092743e-06,4.6812900778014921e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.16, 2.24)",65,6.4982582443917636e-06,6.9155418154151493e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.24, 2.32)",55,5.6730827964202035e-06,5.8516125972518651e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.32, 2.4)",66,6.807699264754774e-06,7.0219351167022381e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.4, 2.48)",62,6.395111540768994e-06,6.5963629957560554e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.48, 2.56)",45,4.2290253077226225e-06,4.7876828369874946e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.56, 2.64)",69,6.7045525611320045e-06,7.341113936361332e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.64, 2.72)",68,7.0139931267476641e-06,7.2347206350742432e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.72, 2.8000000000000003)",68,6.395111540768994e-06,7.2347206350742432e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000003, 2.88)",77,7.3234341471106745e-06,8.1922576361526112e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.88, 2.96)",111,1.1036724572477397e-05,1.1809617953689733e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.96, 3.04)",168,1.6709807823644951e-05,1.7874016069313603e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.04, 3.12)",332,3.3007025194820017e-05,3.5322461101883196e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.12, 3.2)",123,1.1655606613203418e-05,1.3086333232326108e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.2, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",2823,0.00089324498549103737,2.826378298070864e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 0.08)",5824,0.0018428121693432331,5.8309695960545582e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.08, 0.16)",4820,0.0015251296572387218,4.8257681184438184e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.16, 0.24)",3575,0.001131190569140017,3.5792782626664632e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.24, 0.32)",2643,0.00083628995344042778,2.6461630109331225e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.32, 0.4)",1995,0.00063125177985057235,1.9973875331480428e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.4, 0.48)",1738,0.00054993265075609088,1.7400798857369892e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.48, 0.56)",1264,0.00039995100814849138,1.2655126946370387e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.56, 0.64)",1108,0.00035058995126746595,1.1093259644212594e-10
