dataset,sublFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.2, -2.0)",90,7.2835086029954255e-05,6.7665172076569746e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.0, -1.7999999999999998)",181,0.0001534739276394248,1.3608217330762784e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",269,0.00022804317995905876,2.0224368013632699e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.5999999999999996, -1.4)",359,0.00030781494569964707,2.6990884527400283e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.4, -1.1999999999999997)",501,0.0004274725797586143,3.7666944563419236e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.1999999999999997, -1.0)",741,0.00063383864471688867,5.5710991375690355e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.0, -0.7999999999999998)",824,0.00070754083571955562,6.1951221930200973e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",991,0.00084540725219994783,7.4506872893564946e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",1162,0.0009919444564729929,8.7363255518724259e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",1251,0.0010656466474756598,9.4054586341485447e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.19999999999999973, 0.0)",1228,0.0010526403784751892,9.2325364020595657e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 0.20000000000000018)",1267,0.0010795199777930975,9.525752409089705e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.20000000000000018, 0.40000000000000036)",1255,0.0010812542168423533,9.4355323554395909e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.40000000000000036, 0.6000000000000005)",1152,0.00098674197215586901,8.6611418037563226e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.6000000000000005, 0.8000000000000007)",1036,0.00088269187835976481,7.7890127681001786e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.8000000000000007, 1.0)",824,0.00069366744719445705,6.1951221930200973e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",668,0.00056707317708060145,5.0222592751225648e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000004)",533,0.00045001678518019617,4.0072817286684881e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.4000000000000004, 1.6000000000000005)",353,0.00030087825143709779,2.6539784259149712e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.6000000000000005, 1.8000000000000007)",246,0.0002081002457998693,1.849514708052169e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.8000000000000007, 2.0)",158,0.0001300626463489607,1.1878996397651775e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.0, 2.2)",116,9.5379276899620891e-05,8.7212889687826589e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",58,5.0290891522308812e-05,4.3606444843913295e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6000000000000005)",43,3.5550456232158467e-05,3.2328913851520369e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.6000000000000005, 2.8000000000000007)",22,1.9075854652328417e-05,1.654037497245131e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.8000000000000007, 3.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.0, 3.2)",4,3.4683373542065965e-06,3.0073409040820565e-12
