dataset,dijet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[650.0, 700.0)",332,0.0003114313876722008,3.1056401894602459e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[700.0, 750.0)",268,0.00025726942112669349,2.506962692994108e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[750.0, 800.0)",223,0.00021181204647291452,2.0860173310932595e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[800.0, 850.0)",190,0.00017989515617955476,1.7773242599883332e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[850.0, 900.0)",173,0.00016732183576095849,1.6183004936110024e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[900.0, 950.0)",138,0.00013347060303203762,1.2908986379844833e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[950.0, 1000.0)",106,0.00010252089850837365,9.9155982036247536e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1000.0, 1050.0)",69,6.6735301516018808e-05,6.4544931899224167e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1050.0, 1100.0)",69,6.6735301516018808e-05,6.4544931899224167e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1100.0, 1150.0)",38,3.6752775486093014e-05,3.5546485893656055e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1150.0, 1200.0)",27,2.6113813873962499e-05,2.5256713387378227e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1200.0, 1250.0)",29,2.6113813873962499e-05,2.712757969647317e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1250.0, 1300.0)",19,1.8376387743046507e-05,1.7773242946828027e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1300.0, 1350.0)",8,5.803069598186994e-06,7.4834704405501995e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1350.0, 1400.0)",7,6.7702476371778175e-06,6.5480364186409901e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1400.0, 1450.0)",5,4.8358915591961704e-06,4.6771692421843092e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1450.0, 1500.0)",6,5.803069598186994e-06,5.6126028304126496e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1500.0, 1550.0)",6,5.803069598186994e-06,5.6126028304126496e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1550.0, 1600.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1600.0, 1650.0)",2,1.934356532728998e-06,1.8708676101375499e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1650.0, 1700.0)",2,1.934356532728998e-06,1.8708676101375499e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1700.0, 1750.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1750.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1800.0, 1850.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1850.0, 1900.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1900.0, 1950.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1950.0, 2000.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2000.0, inf)",2,1.934356532728998e-06,1.8708676101375499e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 50.0)",476,0.00040752964559942484,3.5787356411631777e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[50.0, 100.0)",1024,0.00087402103235945106,7.6987927144500645e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[100.0, 150.0)",1369,0.001171430922113359,1.0292624530450212e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[150.0, 200.0)",1513,0.0012841519201174378,1.137526739469763e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[200.0, 250.0)",1419,0.0012095826677978039,1.0668541605696191e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[250.0, 300.0)",1403,0.0011991775827482343,1.0548247830755031e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[300.0, 350.0)",1176,0.0010144886327907443,8.8415824661680631e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[350.0, 400.0)",1122,0.00095032440731301904,8.435591114519525e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[400.0, 450.0)",948,0.00080985674867406487,7.1273981161468214e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[450.0, 500.0)",880,0.00075436336919665337,6.6161498502026461e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[500.0, 550.0)",716,0.00061216152971610427,5.3831400448345335e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[550.0, 600.0)",634,0.00053238979307934642,4.7666354197062333e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[600.0, 650.0)",537,0.00045695345033891499,4.0373551724037782e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[650.0, 700.0)",438,0.00037631459417752922,3.2930383420115561e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[700.0, 750.0)",372,0.00031561870127916336,2.7968269367129039e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[750.0, 800.0)",284,0.00023931528266984969,2.1352120072037906e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[800.0, 850.0)",267,0.00022977734624873847,2.0074000794956248e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[850.0, 900.0)",191,0.00016387893992941827,1.4360053424145036e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[900.0, 950.0)",159,0.00013613223563879728,1.1954180700879391e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[950.0, 1000.0)",136,0.00011445513518992811,1.0224959073878992e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1000.0, 1050.0)",94,7.8037592174950987e-05,7.0672509511204851e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1050.0, 1100.0)",92,7.6303418609313667e-05,6.9168837324440346e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1100.0, 1150.0)",52,4.5088385377312079e-05,3.9095431753066734e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1150.0, 1200.0)",34,2.9480866942321882e-05,2.556239768469748e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1200.0, 1250.0)",33,2.6879613869823515e-05,2.4810563326038704e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1250.0, 1300.0)",26,2.254419268865604e-05,1.9547715876533367e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1300.0, 1350.0)",25,1.647460157983005e-05,1.8795881517874591e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1350.0, 1400.0)",10,6.936674708413193e-06,7.5183522602051411e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1400.0, 1450.0)",14,1.2139180398662575e-05,1.0525693164287198e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1450.0, 1500.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1500.0, 1550.0)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1550.0, 1600.0)",6,5.2025061449967325e-06,4.5110113561230847e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1600.0, 1650.0)",6,5.2025061449967325e-06,4.5110113561230847e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1650.0, 1700.0)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1700.0, 1750.0)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1750.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1800.0, 1850.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1850.0, 1900.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1900.0, 1950.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1950.0, 2000.0)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2000.0, inf)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 50.0)",374,3.65140222129412e-05,3.9790965661312683e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[50.0, 100.0)",857,8.4477360360324383e-05,9.1178757252730058e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[100.0, 150.0)",1063,0.00010551934246905148,1.1309571334994217e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[150.0, 200.0)",1210,0.00011800011998275295,1.2873547713954103e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[200.0, 250.0)",1174,0.00011758753680624068,1.2490532913522756e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[250.0, 300.0)",1149,0.0001143899789894931,1.2224550365036446e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[300.0, 350.0)",1064,0.00010624136484693736,1.1320210394072383e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[350.0, 400.0)",934,9.138820314547047e-05,9.9371014888882669e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[400.0, 450.0)",948,9.4070026534609497e-05,1.008605178542954e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[450.0, 500.0)",826,8.2104976172558963e-05,8.7880579549559634e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[500.0, 550.0)",766,7.529727736255154e-05,8.1497005324782101e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[550.0, 600.0)",637,6.2197614170145243e-05,6.7772311200531288e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[600.0, 650.0)",575,5.7040269894059747e-05,6.117594712057306e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[650.0, 700.0)",553,5.5802505812607706e-05,5.8835302081672314e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[700.0, 750.0)",458,4.6416131226578727e-05,4.8727974780171657e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[750.0, 800.0)",406,4.0846196498023346e-05,4.3195538292073454e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[800.0, 850.0)",341,3.3316468034172431e-05,3.6279998102961564e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[850.0, 900.0)",269,2.6302473997930065e-05,2.8619704262738965e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[900.0, 950.0)",246,2.4136388674378395e-05,2.6172666464652217e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[950.0, 1000.0)",217,2.1145126083865762e-05,2.3087269943045108e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1050.0)",158,1.5472043742192909e-05,1.6810086309049233e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1050.0, 1100.0)",143,1.4337427273858339e-05,1.5214192752854849e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1100.0, 1150.0)",131,1.2687076377915218e-05,1.3937477474218474e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1150.0, 1200.0)",110,1.0727283552114386e-05,1.170322519450373e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1250.0)",91,8.7674916358082555e-06,9.6817584331609918e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1250.0, 1300.0)",68,6.188817678776104e-06,7.2347206350742432e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1300.0, 1350.0)",57,5.6730827964202035e-06,6.0643981156238702e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1350.0, 1400.0)",43,4.2290253077226225e-06,4.5748967765144033e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1450.0)",46,4.744760190078523e-06,4.8940761382745834e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1450.0, 1500.0)",33,3.403849632377387e-06,3.5109675583511191e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1500.0, 1550.0)",24,2.2692331640428165e-06,2.5534308283232943e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1550.0, 1600.0)",18,1.856645212683361e-06,1.9150731890051065e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1600.0, 1650.0)",10,1.0314695373381255e-06,1.0639295569764631e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1650.0, 1700.0)",11,9.2832260634168051e-07,1.170322519450373e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1700.0, 1750.0)",7,7.220287443487905e-07,7.4475066955473346e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1750.0, 1800.0)",6,6.1888175650892663e-07,6.3835770708082357e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1800.0, 1850.0)",2,2.0629391883630888e-07,2.1278590800716084e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1850.0, 1900.0)",1,1.0314695941815444e-07,1.0639295400358042e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1900.0, 1950.0)",2,2.0629391883630888e-07,2.1278590800716084e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1950.0, 2000.0)",1,1.0314695941815444e-07,1.0639295400358042e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2000.0, inf)",7,5.1573476866906276e-07,7.4475066955473346e-14
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 50.0)",1314,0.00041577185038477182,1.315572512039509e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[50.0, 100.0)",2998,0.00094861793331801891,3.001587867146327e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[100.0, 150.0)",3317,0.0010495549067854881,3.3209696104208319e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[150.0, 200.0)",3375,0.0010679070837795734,3.3790389930565823e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[200.0, 250.0)",3143,0.00099449837580323219,3.1467614625135809e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[250.0, 300.0)",2825,0.00089387781918048859,2.8283808628515317e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[300.0, 350.0)",2590,0.00081951986066997051,2.5930996239154069e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[350.0, 400.0)",2336,0.00073914992390200496,2.3387955461195986e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[400.0, 450.0)",2110,0.00066763971699401736,2.1125251548070878e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[450.0, 500.0)",1842,0.0005828400026075542,1.8442043725475088e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[500.0, 550.0)",1470,0.0004651328781619668,1.4717592422552883e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[550.0, 600.0)",1326,0.00041956885252147913,1.3275869292783682e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[600.0, 650.0)",1122,0.00035501978709362447,1.1233427382739691e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[650.0, 700.0)",914,0.00028920508339069784,9.1509383404186906e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[700.0, 750.0)",716,0.00022655451903119683,7.1685685165689961e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[750.0, 800.0)",635,0.00020092475460842252,6.3575991693376466e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[800.0, 850.0)",455,0.0001439697080058977,4.555445257126145e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[850.0, 900.0)",396,0.00012530109961517155,3.9647389538099986e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[900.0, 950.0)",309,9.7772834124043584e-05,3.0936978673290483e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[950.0, 1000.0)",232,7.340872980421409e-05,2.3227763462640993e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1000.0, 1050.0)",185,5.8537130826152861e-05,1.8522140418641975e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1050.0, 1100.0)",115,3.6387948057381436e-05,1.1513762165904495e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1100.0, 1150.0)",90,2.8477523301262408e-05,9.0107704284192458e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1150.0, 1200.0)",62,1.9617849829955958e-05,6.207419994685992e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1200.0, 1250.0)",36,1.1391009138606023e-05,3.6043082581038721e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1250.0, 1300.0)",37,1.1707425983331632e-05,3.7044278235198735e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1300.0, 1350.0)",27,8.5432575360755436e-06,2.7032313019981213e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1350.0, 1400.0)",18,5.6955045693030115e-06,1.8021541290519361e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1400.0, 1450.0)",18,5.6955045693030115e-06,1.8021541290519361e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1450.0, 1500.0)",7,2.2149185952002881e-06,7.0083771685353069e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1500.0, 1550.0)",7,2.2149185952002881e-06,7.0083771685353069e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1550.0, 1600.0)",6,1.8985015231010038e-06,6.0071804301731202e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1600.0, 1650.0)",3,9.4925076155050192e-07,3.0035902150865601e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1650.0, 1700.0)",4,1.2656677199629485e-06,4.0047869534487468e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1700.0, 1750.0)",5,1.582084678375395e-06,5.0059836918109335e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1750.0, 1800.0)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1800.0, 1850.0)",2,6.3283385998147423e-07,2.0023934767243734e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1850.0, 1900.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1900.0, 1950.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1950.0, 2000.0)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2000.0, inf)",2,6.3283385998147423e-07,2.0023934767243734e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.0, 50.0)",1179,0.0003753003547899425,1.1946593714284859e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[50.0, 100.0)",3050,0.00097087875474244356,3.0905097925248981e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[100.0, 150.0)",3965,0.0012621423229575157,4.0176628690602456e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[150.0, 200.0)",4159,0.0013238965766504407,4.2142395129118881e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[200.0, 250.0)",4104,0.0013063889928162098,4.1585090926332668e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[250.0, 300.0)",3674,0.0011695110006257892,3.7227979032827818e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[300.0, 350.0)",3243,0.0010323147289454937,3.2860733578665702e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[350.0, 400.0)",2954,0.00094031996559351683,2.9932348266648034e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[400.0, 450.0)",2589,0.0008241328177973628,2.6233870631386935e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[450.0, 500.0)",2230,0.00070985557977110147,2.2596187421175529e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[500.0, 550.0)",1834,0.00058380054542794824,1.8583590222220892e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[550.0, 600.0)",1599,0.00050899514462798834,1.6202378327889733e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[600.0, 650.0)",1367,0.00043514466960914433,1.3851564339972811e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[650.0, 700.0)",1117,0.00035556443617679179,1.1318359444123516e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[700.0, 750.0)",938,0.00029858501511625946,9.5045846193464456e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[750.0, 800.0)",742,0.00023619411513209343,7.5185517534048785e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[800.0, 850.0)",590,0.0001878093316918239,5.9783636374710625e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[850.0, 900.0)",453,0.00014419936633203179,4.5901671352766016e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[900.0, 950.0)",355,0.00011300391633994877,3.597150702305818e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[950.0, 1000.0)",283,9.0084817202296108e-05,2.8675879379380653e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1000.0, 1050.0)",226,7.1940521593205631e-05,2.2900171342543629e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1050.0, 1100.0)",155,4.9339738325215876e-05,1.5705870631821384e-11
