dataset,dijet_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[800.0, 900.0)",188,0.00016127768321894109,1.413450190224097e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[900.0, 1000.0)",231,0.00019509397679939866,1.7367393634337702e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1000.0, 1100.0)",296,0.00024798611411824822,2.2254323384096608e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1100.0, 1200.0)",365,0.00031128327827900648,2.7441984795650853e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1200.0, 1300.0)",404,0.00034336539101786911,3.0374142090394685e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1300.0, 1400.0)",464,0.00039885879959911108,3.4885155875130636e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1400.0, 1500.0)",566,0.0004820988979190588,4.2553874313178142e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1500.0, 1600.0)",616,0.00052545312792062759,4.631305061675306e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1600.0, 1700.0)",667,0.0005696744192391634,5.0147408447998032e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1700.0, 1800.0)",779,0.00065464869840070605,5.8567961591649009e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1800.0, 1900.0)",815,0.00068933202419430017,6.1274568752267555e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1900.0, 2000.0)",851,0.00072401540819555521,6.3981175912886101e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2000.0, 2100.0)",904,0.00077517342288047075,6.7965905126143866e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2100.0, 2200.0)",890,0.00075783173087984324,6.6913335983187494e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2200.0, 2300.0)",989,0.00084193889051675797,7.4356504287109715e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2300.0, 2400.0)",905,0.00077604048419743776,6.8041089429371482e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2400.0, 2500.0)",1023,0.00087488809367641807,7.691274284127303e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2500.0, 2600.0)",958,0.00082373013719916344,7.2025813091514124e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2600.0, 2700.0)",901,0.00076390127651393414,6.7740352216461019e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2700.0, 2800.0)",765,0.00065464869840070605,5.7515392448692637e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2800.0, 2900.0)",632,0.00054452894255518913,4.7515985590607102e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2900.0, 3000.0)",425,0.00036504250601865351,3.1952995804829243e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3000.0, 3100.0)",290,0.00024798611411824822,2.1803221728067257e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3100.0, 3200.0)",141,0.00011532221833476797,1.0600876426680728e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3200.0, 3300.0)",61,4.9423808377468958e-05,4.5861949654613099e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3300.0, 3400.0)",29,2.5145445761154406e-05,2.1803222421956647e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3400.0, 3500.0)",23,1.8208771507488564e-05,1.7292209331110087e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3500.0, 3600.0)",13,1.127209634432802e-05,9.7738579382666835e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3600.0, 3700.0)",12,1.0405012289993465e-05,9.0220227122461694e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3700.0, 3800.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3800.0, 3900.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3900.0, 4000.0)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4000.0, 4100.0)",6,5.2025061449967325e-06,4.5110113561230847e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4100.0, 4200.0)",3,2.6012530724983662e-06,2.2555056780615423e-12
