dataset,njet,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.5, 0.5)",376,3.7751786294393241e-05,4.0003751179684688e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.5, 1.5)",953,9.3966882559470832e-05,1.0139248815543844e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.5, 2.5)",9045,0.00089521246263757348,9.6232424806608208e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.5, 3.5)",4704,0.00046622424270026386,5.004724412671635e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.5, 4.5)",1119,0.00010943892266368493,1.190537165379757e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.5, 5.5)",157,1.557519135531038e-05,1.670369354986323e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[5.5, 6.5)",11,1.1346165820214082e-06,1.170322519450373e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[6.5, 7.5)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[7.5, 8.5)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[8.5, 9.5)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[9.5, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, -0.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.5, 0.5)",2823,0.00089324498549103737,2.826378298070864e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.5, 1.5)",12112,0.0038324417546391487,1.2126495363418144e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.5, 2.5)",26780,0.0084736449643969536,2.6812048137259126e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.5, 3.5)",6462,0.0020446861162781715,6.4697330826035682e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.5, 4.5)",747,0.00023636344121769071,7.4789396897756433e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.5, 5.5)",61,1.9301432985230349e-05,6.1072999955891216e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[5.5, 6.5)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[6.5, 7.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[7.5, 8.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[8.5, 9.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[9.5, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, -0.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-0.5, 0.5)",1024,0.0003259606019128114,1.0376006998047416e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.5, 1.5)",6450,0.0020531697664409876,6.5356686729245439e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.5, 2.5)",28004,0.0089142583310604095,2.8375948257775008e-09
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.5, 3.5)",11052,0.0035180826671421528,1.1198791893818338e-09
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.5, 4.5)",1917,0.00061022117733955383,1.9424614694507625e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[4.5, 5.5)",222,7.0667236286681145e-05,2.2494858406552076e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[5.5, 6.5)",21,6.6847387643065304e-06,2.1278920465939155e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[6.5, 7.5)",2,6.3664180061095976e-07,2.0265638668061359e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[7.5, 8.5)",1,3.1832090030547988e-07,1.0132819334030679e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[8.5, 9.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[9.5, inf)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-inf, -0.5)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-0.5, 0.5)",461,1.5888112102402374e-05,5.4757511459141428e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.5, 1.5)",3126,0.00010773587564472109,3.7130580728128582e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1.5, 2.5)",29636,0.0010213885689154267,3.5201598580503202e-11
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[2.5, 3.5)",13014,0.00044852038263343275,1.5458009872126866e-11
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[3.5, 4.5)",2447,8.4334518760442734e-05,2.9065430617869481e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[4.5, 5.5)",281,9.684511496743653e-06,3.3377139485417373e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[5.5, 6.5)",11,3.7910896821813367e-07,1.3065783908093858e-14
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[6.5, 7.5)",2,6.8928905250231765e-08,2.3755970741988833e-15
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[7.5, 8.5)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[8.5, 9.5)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[9.5, inf)",0,0,0
