dataset,ht,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[980.0, 1050.0)",606,0.00051331392023712397,4.5561215911149588e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1050.0, 1120.0)",642,0.00055146566592156887,4.8267823071768134e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1120.0, 1190.0)",692,0.00059828819939866662,5.2026999375343053e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1190.0, 1260.0)",697,0.00059742113808169961,5.2402915340366008e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1260.0, 1330.0)",736,0.00063123740255832672,5.5335069859552277e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1330.0, 1400.0)",749,0.00064077530987560749,5.6312460250396157e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1400.0, 1470.0)",813,0.00069453456671908498,6.1124205696927447e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1470.0, 1540.0)",767,0.00065118033671751618,5.7665761055147868e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1540.0, 1610.0)",762,0.00065378157887607813,5.7289845090124913e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1610.0, 1680.0)",711,0.0006026236223988235,5.345548448332238e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1680.0, 1750.0)",734,0.00062256655655801296,5.5184706804212169e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1750.0, 1820.0)",710,0.00060175650287419558,5.3380300180094764e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1820.0, 1890.0)",670,0.00057227566139772534,5.0372961357680879e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1890.0, 1960.0)",642,0.00054973148507997394,4.8267823071768134e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1960.0, 2030.0)",583,0.00049510516691952944,4.3831993590259799e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2030.0, 2100.0)",522,0.0004491496947593987,3.9245798277853794e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2100.0, 2170.0)",505,0.00042573839891701937,3.7967679000772137e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2170.0, 2240.0)",467,0.0003945233765989542,3.5110706009255921e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2240.0, 2310.0)",422,0.00036417541559785604,3.1727445670703958e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2310.0, 2380.0)",351,0.00030087825143709779,2.6389415652694481e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2380.0, 2450.0)",310,0.00026706198696047068,2.330689252705298e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2450.0, 2520.0)",270,0.00023064443666953593,2.0299550929081533e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2520.0, 2590.0)",218,0.00018729022121988237,1.6390007406830165e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2590.0, 2660.0)",157,0.00013266390305943787,1.1803813482202941e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2660.0, 2730.0)",148,0.00012486014747992158,1.1127161692048304e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2730.0, 2800.0)",103,8.7575521320104599e-05,7.7439027412751216e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2800.0, 2870.0)",97,8.0638841609470546e-05,7.2928017791351607e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2870.0, 2940.0)",67,5.809465073980391e-05,5.0372959276012708e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2940.0, 3010.0)",41,3.3816289942478761e-05,3.0825245134202817e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3010.0, 3080.0)",43,3.728462615981698e-05,3.2328913851520369e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3080.0, 3150.0)",32,2.7746698833652772e-05,2.4058727232656452e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3150.0, 3220.0)",19,1.4740433471160941e-05,1.4284869294389768e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3220.0, 3290.0)",7,6.0695901993312873e-06,5.2628465821435988e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3290.0, 3360.0)",13,1.127209634432802e-05,9.7738579382666835e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3360.0, 3430.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3430.0, 3500.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3500.0, inf)",33,2.6879613869823515e-05,2.4810563326038704e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 70.0)",65,6.7045525611320045e-06,6.9155418154151493e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[70.0, 140.0)",91,9.1800793597940356e-06,9.6817584331609918e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[140.0, 210.0)",71,7.3234341471106745e-06,7.5538999968344234e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[210.0, 280.0)",93,8.9737850430537947e-06,9.8945450357351694e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[280.0, 350.0)",106,1.0727283552114386e-05,1.1277653073557548e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[350.0, 420.0)",112,1.0933577868854627e-05,1.1916010712875735e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[420.0, 490.0)",133,1.3512251825886779e-05,1.4150262992590479e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[490.0, 560.0)",161,1.557519135531038e-05,1.7129265670809413e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[560.0, 630.0)",212,2.1660862330463715e-05,2.2555306147115095e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[630.0, 700.0)",181,1.8463306332705542e-05,1.9257124107135981e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[700.0, 770.0)",228,2.2486037778435275e-05,2.4257592462495481e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[770.0, 840.0)",230,2.2898624592926353e-05,2.4470380149271831e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[840.0, 910.0)",263,2.6715062631410547e-05,2.798134770762295e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[910.0, 980.0)",288,2.9087443181197159e-05,3.0641171024081704e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[980.0, 1050.0)",341,3.2284999178955331e-05,3.6279998102961564e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1050.0, 1120.0)",328,3.3007025194820017e-05,3.4896887896734841e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1120.0, 1190.0)",365,3.6617169826058671e-05,3.8833428660234315e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1190.0, 1260.0)",381,3.8473815948236734e-05,4.0535717144019046e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1260.0, 1330.0)",421,4.1155635699396953e-05,4.4791431848267838e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1330.0, 1400.0)",432,4.1877665353240445e-05,4.5961754367718211e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1470.0)",478,4.6828718041069806e-05,5.0855829963891708e-12
