,category,met,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,signal contamination
13,1.05,"[200.0, 300.0)",42501099.42±1338288.5,34835975.0±596385.7,267089.79±190658.9,278485.85±51017.1,136625.86±32430.8,1829936.76±1124503.2,5678606.03±362158.6,1.22
14,1.05,"[300.0, 400.0)",10115608.97±357587.0,8222181.04±282247.9,5037.39±2979.8,22702.57±5844.9,108760.98±28576.7,0.0±0.0,1963474.38±217878.7,2.0
15,1.05,"[400.0, inf)",3664453.2±231520.3,2649726.72±157341.0,13199.27±8454.7,49544.06±13297.9,59538.64±13923.9,0.0±0.0,1020147.79±168917.6,3.37
16,1.06,"[200.0, 300.0)",165090192.77±3921842.3,90092886.69±973264.8,866187.8±333492.7,24956838.67±1136751.0,23271371.22±561771.2,11643979.31±3478559.5,15653012.57±809324.5,0.84
17,1.06,"[300.0, 400.0)",40251835.2±1070283.3,18555598.81±435704.9,289729.39±121533.7,7448524.05±478544.9,9281027.28±277461.5,777586.79±733414.7,4302322.13±312692.1,0.99
18,1.06,"[400.0, 600.0)",17208024.34±840749.9,4919828.56±220303.0,463034.64±186601.4,3598924.62±257154.3,4723691.97±151897.4,953510.97±658619.5,2801981.45±317828.8,1.45
19,1.06,"[600.0, inf)",3589055.78±215448.1,485011.57±69851.9,70465.43±62918.3,647859.78±43379.7,1366178.76±71818.4,98963.55±49967.1,973658.59±167640.2,1.46
20,1.07,"[200.0, 300.0)",145713294.75±7416170.1,85242931.62±962356.4,447352.38±193992.9,13980426.55±659480.3,11689075.52±334166.2,24175587.96±7291774.5,11827796.16±566904.5,1.12
21,1.07,"[300.0, 400.0)",31666553.38±951402.4,17810814.18±441301.4,274107.47±124460.0,4527101.67±340827.4,4542328.42±178444.1,1320074.31±657151.8,3828267.77±340860.6,1.97
22,1.07,"[400.0, inf)",13029571.57±431760.8,4947654.72±219486.4,91390.79±67445.1,2208060.26±119743.4,3044212.31±117019.0,362844.12±149502.1,2768648.9±289676.9,2.93
23,1.08,"[200.0, 300.0)",40162666.51±803389.5,28465633.5±542371.5,248047.47±145424.2,3339578.77±375606.2,4120883.67±224496.5,126288.3±74569.7,4318393.73±365341.8,1.12
24,1.08,"[300.0, 400.0)",8309917.13±348801.5,4532015.86±219298.4,1677.06±1154.3,1019072.11±150884.1,1531685.27±112991.5,83939.29±63619.9,1323172.09±185354.2,2.14
25,1.08,"[400.0, inf)",3401189.9±265972.3,868794.15±94259.9,47838.59±40842.8,481031.09±128638.7,990254.04±68201.4,64954.39±64954.4,1047656.89±186851.4,2.84
26,1.09,"[200.0, 300.0)",42757646.92±1704232.7,30004116.2±562516.2,9840.26±3912.2,2293389.68±243544.5,2519786.51±146249.8,4156623.04±1560662.3,4707797.48±268869.8,2.14
27,1.09,"[300.0, 400.0)",8546883.48±538079.1,4824643.27±218701.3,6214.44±2685.7,732127.69±76698.5,909890.44±76926.0,820739.56±448912.1,1553468.97±169096.1,3.39
28,1.09,"[400.0, inf)",2893143.45±273429.6,1090076.61±104320.5,193212.62±191138.3,311502.41±28381.9,514621.1±45888.8,48174.14±48174.1,921173.44±149237.9,6.03
29,2.01,"[200.0, 300.0)",3335609360.11±17915370.8,37498372.43±642329.0,101307951.71±2962950.7,1390175443.14±13318338.0,1574059959.45±7817025.3,14347066.25±7465632.6,245420666.42±4240598.1,0.81
30,2.01,"[300.0, 400.0)",1373150031.46±10492695.3,9842371.97±328760.8,41471645.25±1894885.0,501423605.37±7107496.0,694668636.17±4492213.6,15850930.41±5239973.4,123986500.77±2909610.9,1.02
31,2.01,"[400.0, inf)",619570231.79±5642973.8,2764070.13±171508.7,25763857.3±1476600.5,189629487.92±3039627.9,307277973.0±1852277.9,22890506.89±3568266.1,78740068.0±2074009.6,1.2
32,2.02,"[200.0, 300.0)",340198599.49±6175584.2,49969474.1±731869.7,13488885.12±1120162.9,110242498.4±4568679.5,126133444.98±2224672.6,4460145.6±2934600.4,39524460.91±1407528.7,1.05
33,2.02,"[300.0, 400.0)",144824334.51±4945927.4,10798581.68±333441.3,6158390.14±796005.3,42626014.49±2177868.1,56250189.16±1271925.3,12259382.77±4070752.7,18491354.88±893548.6,1.2
34,2.02,"[400.0, inf)",65537083.74±2521070.3,2524492.84±163296.7,3523243.16±562228.0,18786834.07±1013267.4,24385705.87±487438.4,5228875.3±2006089.7,12153244.43±855736.5,1.6
35,2.03,"[200.0, inf)",71145466.97±2171653.4,19887884.96±451188.5,4769019.17±550813.3,12131261.14±1183803.4,20395234.16±806477.6,1684505.73±1203740.7,14705851.83±875303.8,3.3
36,2.04,"[200.0, 300.0)",77654691.01±2281108.7,3521743.18±201968.5,8859546.56±880738.6,24570320.35±1644658.0,30280122.17±1033166.7,0.0±0.0,13050343.14±795128.8,3.27
37,2.04,"[300.0, 400.0)",78798586.52±2145233.9,2676911.95±167931.5,12745441.29±1020819.5,18568791.42±1262493.4,29339835.13±869738.1,692257.55±692257.6,19870249.4±856101.6,6.07
38,2.04,"[400.0, inf)",36204089.63±1255949.9,1228447.57±105831.3,7376553.0±814719.1,7213524.92±600008.5,10806103.14±370370.2,15584.45±15584.5,13222524.76±671758.8,9.18
39,3.01,"[200.0, 300.0)",24057328136.43±55855655.0,130020204.54±1157933.6,185562779.24±4021173.1,10897177345.01±36186789.5,11282396822.64±19853455.1,201446026.91±35614439.3,1430951358.06±11583248.2,0.29
40,3.01,"[300.0, 400.0)",7785797733.69±22176676.5,42794068.94±661013.6,86772280.28±2744821.3,3062997292.62±16367707.6,3983027687.35±9779098.3,65080720.62±9169321.9,575121878.65±6173179.6,0.38
41,3.01,"[400.0, 600.0)",2798288103.56±9776136.5,14715010.7±382017.9,39283564.43±1803286.6,952405167.87±6340860.2,1465302059.2±3681479.7,48877513.62±4993033.1,292908898.0±3779312.3,0.54
42,3.01,"[600.0, inf)",489623672.44±3145795.6,2118139.15±142313.3,11947315.88±1051873.7,126717543.97±832006.0,240738216.34±883817.8,29595114.92±2133954.2,81697700.24±1690352.2,0.65
43,3.02,"[200.0, 300.0)",6582709105.45±34811994.9,130857630.85±1191225.8,80182153.09±2619971.0,3009732523.73±17063152.1,2791021597.56±8601087.3,122785522.7±28464510.7,468336706.61±5370137.6,0.31
44,3.02,"[300.0, 400.0)",2340369330.8±10735533.2,36729666.16±620786.2,39464708.96±1823885.3,929891718.9±7598054.3,1115488405.05±4156387.6,33543472.31±5207065.3,195287663.36±3141300.0,0.43
45,3.02,"[400.0, 600.0)",1144376374.78±5737301.9,13242050.79±369074.5,22510360.64±1353442.1,385521783.05±3399430.7,573359644.53±2012186.3,24681096.71±3211752.3,131515895.46±2286414.7,0.56
46,3.02,"[600.0, inf)",265899963.25±2211449.5,1673125.43±128544.8,7304781.56±772959.0,66552503.63±504281.6,127238605.82±635730.1,15154832.09±1364406.8,49778187.09±1336474.7,0.67
47,3.03,"[200.0, 300.0)",1918556300.3±10886791.0,82005582.18±943099.2,21949058.97±1369394.1,848388880.13±7558524.0,765714804.88±3667509.7,58211508.95±6173954.1,148878739.55±2685436.9,0.34
48,3.03,"[300.0, 400.0)",666101135.88±4972556.2,21462515.84±482995.5,11021508.99±966863.8,260892752.99±3277039.9,300098625.19±1762477.3,10655058.91±2645512.1,64699568.25±1656154.0,0.41
49,3.03,"[400.0, 600.0)",321628113.47±2556265.9,7360626.77±273200.6,7541152.62±773806.2,108601724.43±1456420.8,155182619.83±929032.7,5375780.36±1258431.0,39748850.72±1177827.0,0.67
50,3.03,"[600.0, inf)",86422735.48±1176080.2,940612.27±91111.0,3008214.66±487875.8,21100710.31±238470.8,39451199.22±359248.8,4955003.84±558246.9,17785816.76±827808.0,0.94
51,3.04,"[200.0, 300.0)",1092501739.0±10304260.2,103556622.01±1067884.3,10545807.93±916694.6,422293885.06±4183473.3,320941879.0±1863033.9,155957183.6±8948718.4,84321070.91±1807315.0,0.47
52,3.04,"[300.0, 400.0)",325092213.35±5467359.3,25826717.02±523851.6,5127119.42±648196.8,122746338.9±1769260.4,121964881.92±938341.2,20843320.61±4915380.1,31005676.41±1041287.1,0.74
53,3.04,"[400.0, 600.0)",148129866.78±2074824.5,8141627.08±293980.2,4093680.35±591232.3,48816392.68±708136.4,61138891.0±537042.3,6618847.65±1554814.3,20363829.54±816253.1,0.7
54,3.04,"[600.0, inf)",38229622.43±732195.0,1196160.37±103273.3,1227588.11±295834.9,9645791.93±147108.0,15772279.27±231247.1,2704665.08±337055.2,8035181.73±501430.9,0.91
0,Boosted ttH,,259758086.08±2567101.9,203712960.53±1449556.1,961581.53±283206.2,7844157.9±243724.9,6438540.44±193509.3,10340240.87±1859452.3,36394032.67±927062.8,2.23
0,Resolved ttH,,522619975.18±8802121.1,291840005.73±1756652.5,3009098.33±530860.6,65544437.35±1549525.8,68505006.5±821726.7,44633265.74±8327788.5,56027350.16±1315021.2,1.31
0,Resolved VH,,5950035108.08±23164028.8,133285248.12±1194629.1,196482991.84±4130121.0,2265015144.53±16284287.1,2803171142.79±9600612.7,76721412.96±11250858.2,533022147.24±5918448.5,0.96
0,Boosted VH,,192657367.15±3373854.6,7427102.7±283182.9,28981540.86±1575290.5,50352636.68±2158425.3,70426060.43±1400375.6,707842.0±692433.0,46143117.3±1347738.8,5.58
0,Inclusive ggH,,50061054147.07±73308518.2,622640360.09±2572668.2,537542075.13±6784295.2,21273482355.21±45499225.1,23358838218.81±24941422.6,806485668.88±48839032.1,3640437021.33±15888222.3,0.36
0,Combined,,56986124683.55±77499427.9,1258905677.19±3648697.5,766977287.69±8119613.3,23662238731.68±48399139.7,26307378968.97±26775362.9,938888430.45±50844094.5,4312023668.71±17084167.1,0.45
