,category,met,signal yield,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,asimov_0Syst,asimov_0.05Syst,asimov_0.1Syst
43,3.02,"[200.0, 300.0)",215178985.4±2455823.2,23804926313.52±76573646.2,467741235.82±2312235.9,350663004.11±5346162.9,7897605013.65±28581476.1,13447015231.14±20521723.3,206115691.55±66963355.9,1650965122.64±10653334.5,1392.56,0.18,0.09
44,3.02,"[300.0, 400.0)",49566730.39±1070782.4,4968621008.48±13629434.8,57799173.13±816733.0,77173536.39±2446464.7,1323982524.54±9605531.9,3135851314.25±7842625.4,10100414.02±3833205.3,413280776.53±3433562.0,702.03,0.2,0.1
45,3.02,"[400.0, 600.0)",14194878.11±623517.0,1358813767.61±4526899.5,6639349.07±280024.5,21745619.08±1291819.7,283986567.2±3018271.1,925253410.22±2695667.8,503511.06±427851.6,134880189.11±1604599.2,384.41,0.21,0.1
46,3.02,"[600.0, inf)",1344930.42±153076.0,152081650.13±934282.4,179242.07±42529.3,2554677.63±424775.7,22857181.72±299294.4,109898115.56±609462.1,5842.89±5842.9,17931520.68±503008.5,108.9,0.18,0.09
47,3.03,"[200.0, 300.0)",91966572.54±1686519.6,10630761571.08±26188762.0,396828258.88±2133465.5,135966345.14±3245267.8,3666770894.89±17976718.9,5771411202.76±12206854.2,55671823.4±12087475.3,696079618.57±7438776.6,890.68,0.17,0.09
48,3.03,"[300.0, 400.0)",28778417.99±964166.2,2774723859.27±9137882.9,54680311.83±792511.5,38263864.39±1714349.6,757436132.38±6518217.2,1724411142.99±5218670.6,5115781.15±2211086.8,223595044.51±2500573.9,545.39,0.21,0.1
49,3.03,"[400.0, 600.0)",10556102.02±635730.2,895121648.74±3420118.6,7172299.69±286401.5,16214071.0±1089119.3,192280059.71±2183221.5,601255081.91±2049773.8,0.0±0.0,88756238.46±1365697.1,352.14,0.23,0.12
50,3.03,"[600.0, inf)",1024228.86±111126.2,115895706.75±820231.8,185667.7±44471.6,2537471.79±409469.1,17749330.24±249673.5,82878101.73±532514.8,0.0±0.0,13569364.15±411798.1,95.0,0.18,0.09
51,3.04,"[200.0, 300.0)",51387627.46±1083551.5,5106273059.76±17123297.9,413412777.69±2175555.4,58749818.94±2178399.6,1812079805.86±10961144.9,2462549324.67±6848613.7,73633590.93±10243543.1,337235369.14±3594797.3,717.93,0.2,0.1
52,3.04,"[300.0, 400.0)",21229089.17±725039.2,1609779006.64±8730791.6,73675127.99±927613.4,23487936.42±1313556.9,471163613.27±4456501.7,910268609.93±3262795.3,19184548.79±6347903.7,133228259.41±1834225.5,527.96,0.26,0.13
53,3.04,"[400.0, 600.0)",8548186.5±385366.4,604195758.91±2700605.3,13347497.98±385161.9,12343290.06±970388.9,142273543.54±1586454.1,379148035.81±1506845.2,1210253.27±633432.3,64421324.75±1078478.8,346.95,0.28,0.14
54,3.04,"[600.0, inf)",1550175.57±276145.6,96169793.21±784251.6,631699.67±80232.0,3007790.43±459167.0,16977929.07±202006.1,64141096.96±469216.1,43325.59±58513.1,12918127.06±457866.2,157.65,0.32,0.16
0,Boosted ttH,,36725701.37±193277.9,728933605.08±4245726.1,583668018.4±2549423.1,4114564.1±546380.9,24719541.71±1048448.8,37228564.11±589478.7,5705513.15±2827240.9,110223104.99±1351086.4,1902.3,17.97,8.99
0,Resolved ttH,,98834740.74±693246.1,3207170610.12±11172254.4,1746400511.13±4363221.3,23545873.65±1304534.0,392516298.03±4982099.6,729706373.31±3467442.9,28107441.84±7668526.2,385728852.9±2984891.7,2108.35,5.16,2.58
0,Resolved VH,,203287962.51±1379619.7,5748309495.25±56341492.9,291724047.68±1794902.5,292016244.19±4774637.2,1558458457.05±13964092.3,3081614348.19±10787417.9,77217817.2±53069512.3,650566543.45±4744570.4,2928.17,3.77,1.88
0,Boosted VH,,254404991.92±1307171.4,2316726758.9±12784609.6,126137458.08±1234546.0,369046828.8±5631400.5,492997484.4±7776290.5,968257634.26±6094928.2,4235677.07±4235677.1,610456668.2±4044546.9,5445.28,6.82,3.41
0,Inclusive ggH,,680659573.07±4803170.4,77922100092.41±93597472.6,1633704849.25±4328566.2,968943197.93±8774641.9,24802871415.46±47916524.5,45188419106.31±34824281.8,411419464.37±69847264.6,5597401632.16±17333845.7,2467.92,0.81,0.41
0,Combined,,1273912969.62±5215404.1,89923240561.76±110639696.3,4381634884.55±7001394.3,1657666708.67±11554415.3,27271563196.65±50767907.6,50005226026.19±37129742.6,526685913.63±88202914.1,7354376801.7±18710064.9,7237.39,20.27,10.14
