dataset,met,region,category,n,weight_ttbar_scale_down:sumw,weight_ttbar_scale_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_down_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_down:sumw,weight_ttbar_scale_muR_nom_muF_down_x_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_up_x_muR_up_muF_nom:sumw,weight_ttbar_scale_muR_up_muF_down:sumw,weight_ttbar_scale_muR_up_muF_nom:sumw,weight_ttbar_scale_up:sumw
ttbar,"[1000.0, 1100.0)",5,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,3.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,4.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,1.03,1,1.2117497345257258e-06,1.0607210440135142e-06,9.34112730887086e-07,1.0429385772797763e-06,1.2030835977557915e-06,9.19526230250367e-07,8.149779865119165e-07,7.21661443629719e-07,9.192633709177887e-07,8.142387357450659e-07,7.251890531423822e-07
ttbar,"[1100.0, 1200.0)",0,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
