,category,met,bkg yield,$t\bar{t}$ + jets yield,Drell-Yan yield,EWK V + 2 jets yield,Multiboson yield,Other yield,signal contamination
15,1.05,"[400.0, inf)",808820.27±118716.9,121424.16±31296.8,338438.57±24178.8,49892.2±36056.6,184031.8±105494.1,115357.36±10030.7,0.04
16,1.06,"[200.0, 300.0)",34688163.07±747981.9,3028468.79±165713.1,29542320.34±697863.1,672883.43±140720.7,364129.4±128958.8,1080811.79±92577.7,0.0
17,1.06,"[300.0, 400.0)",14089343.29±350219.7,1196819.94±108485.4,11970660.48±301955.6,287969.45±87680.0,257492.58±103635.4,376741.69±35771.9,0.0
18,1.06,"[400.0, 600.0)",5331621.76±138254.3,338833.49±53945.7,4630509.85±104157.4,150617.92±60846.7,21953.0±10863.8,190461.84±39186.5,0.01
19,1.06,"[600.0, inf)",810435.21±50791.8,60561.92±22962.8,665849.58±28065.9,59522.42±34967.3,5817.37±3223.7,20128.11±5723.2,0.18
20,1.07,"[200.0, 300.0)",12915179.34±346918.1,1336995.88±107151.1,10442367.68±309984.0,202275.67±74023.7,141001.33±80239.9,795917.04±29406.9,0.03
21,1.07,"[300.0, 400.0)",6445025.03±195614.1,689416.45±81047.6,5090536.5±133739.7,76436.06±42332.6,154662.64±106241.0,434217.03±27031.7,0.0
22,1.07,"[400.0, inf)",3469728.83±136717.5,347213.12±56423.3,2729801.63±73208.2,96506.63±62971.2,72383.86±56311.5,224642.5±54887.7,0.02
23,1.08,"[200.0, 300.0)",8004322.61±362679.2,1121667.17±101244.9,5678240.11±300652.9,143996.79±85714.1,214914.76±119850.9,846695.56±95826.8,0.01
24,1.08,"[300.0, 400.0)",3167148.05±185955.5,306436.71±52510.6,2373550.6±158639.3,112114.77±59799.8,40504.79±37814.1,336013.37±40630.3,0.05
25,1.08,"[400.0, inf)",1182421.36±111460.0,116991.97±33551.2,798192.57±38188.8,20734.53±20734.5,133177.91±94210.9,114042.54±23112.1,0.06
26,1.09,"[200.0, 300.0)",3782902.08±172668.6,578159.25±70431.0,2484035.19±151174.0,18331.5±18331.5,39870.81±28709.8,664048.76±29007.0,0.04
27,1.09,"[300.0, 400.0)",1821533.59±92202.5,210297.47±42931.9,1235235.04±79557.7,0.0±0.0,5109.84±2921.1,370891.23±17893.8,0.0
28,1.09,"[400.0, inf)",730163.91±40228.0,34547.71±17102.3,528366.03±33732.2,0.0±0.0,3155.64±1539.8,164569.04±13630.6,0.06
29,2.01,"[200.0, 300.0)",265160162.63±3223387.0,809718.25±86204.1,242290156.87±3057639.9,8568643.42±493306.1,13127442.44±882031.2,364602.51±110908.1,0.0
30,2.01,"[300.0, 400.0)",53413370.81±1303221.8,110158.76±32989.6,48669392.43±1210451.5,1748384.65±228992.2,2818409.32±421766.1,67025.66±42212.1,0.0
31,2.01,"[400.0, inf)",6026133.66±297570.9,10703.51±9945.3,5277339.96±228730.6,370001.77±100244.1,368035.19±161500.4,53.23±764.0,0.0
32,2.02,"[200.0, 300.0)",27487883.71±988483.1,1363338.37±115427.3,22909139.11±916197.8,1718061.53±223947.3,1328829.55±267372.4,170687.44±52137.0,0.01
33,2.02,"[300.0, 400.0)",5841880.68±444973.8,325271.68±56077.2,4412783.51±363789.6,380455.75±113044.6,590186.19±184816.6,133894.61±124813.6,0.01
34,2.02,"[400.0, inf)",932064.78±85648.6,25495.11±13469.1,873897.44±78954.6,30299.89±30299.9,0.0±0.0,2372.35±1536.2,0.0
35,2.03,"[200.0, inf)",7291835.56±523446.0,648327.48±81997.4,3691489.46±372549.6,1122705.15±174865.2,1754100.4±309621.5,76006.01±45125.0,0.01
36,2.04,"[200.0, 300.0)",115186352.9±2202131.8,603091.92±81344.7,85743659.99±1832666.0,9829507.16±537280.5,18663773.75±1082956.3,347048.7±150461.5,0.0
37,2.04,"[300.0, 400.0)",21507149.47±865355.0,163836.88±41305.7,13385178.62±628344.4,3241026.18±302049.6,4609012.25±506917.6,108095.54±64163.7,0.0
38,2.04,"[400.0, inf)",1577985.24±215426.2,0.0±0.0,689029.45±79764.4,289795.38±83104.8,598352.68±182040.6,807.73±958.7,0.0
0,Boosted ttH,,38439358.38±483077.9,4059488.55±190850.5,29277769.26±319134.4,884325.12±154804.5,1107969.33±245032.1,3117207.29±105322.0,0.02
0,Resolved ttH,,96437988.14±1048621.3,9366409.87±291771.7,78169665.6±925473.0,1841389.17±235246.6,1454173.94±271846.7,5619180.52±169534.3,0.01
0,Resolved VH,,366153331.84±3692369.3,3293013.17±178861.6,328124198.77±3461713.6,13938552.15±632664.7,19987003.08±1087868.9,814641.81±185521.9,0.0
0,Boosted VH,,138271487.6±2375843.5,766928.79±91231.1,99817868.06±1939031.6,13360328.72±621941.1,23871138.68±1209503.4,455951.97±163574.4,0.0
0,Combined,,639302165.96±4539955.3,17485840.38±402329.7,535389501.69±4086765.4,30024595.17±930795.7,46420285.02±1667422.7,10006981.58±317820.0,0.0
